,brand,title,Price,Link
66,Pip,"MaxiFlex Seamless Knits, ATG, XL, PK12",product price: $82.69,https://www.zoro.com//pip-maxiflex-seamless-knits-atg-xl-pk12-34-876xl/i/G9128548/
67,Mcr Safety,"Leather Drivers Gloves, Cowhide ( Double Palm ), Shirred Slip-On, Keystone Thumb, Gray/Brown, L",product price: $14.55,https://www.zoro.com//mcr-safety-leather-drivers-gloves-cowhide-double-palm-shirred-slip-on-keystone-thumb-graybrown-l-mu3213dpl/i/G8265305/
68,Mcr Safety,"Ninja Ice Insulated Work Gloves, 15-Gauge, Coated Palm and Fingertips, Black, 2XL, 1 Pair",new price: $9.45,https://www.zoro.com//mcr-safety-ninja-ice-insulated-work-gloves-15-gauge-coated-palm-and-fingertips-black-2xl-1-pair-n9690xxl/i/G3313250/
69,Ansell,"Cut-Resistant Coated Gloves, A2 Cut Level, 15 ga, Black, XL",product price: $10.59,https://www.zoro.com//ansell-cut-resistant-coated-gloves-a2-cut-level-15-ga-black-xl-11-510/i/G0063445/
70,Pip,"Leather Drivers Gloves, Cowhide, Shirred Slip-On, Straight Thumb, Gunn Cut, Gray, L",product price: $48.95,https://www.zoro.com//pip-leather-drivers-gloves-cowhide-shirred-slip-on-straight-thumb-gunn-cut-gray-l-68-105l/i/G103519499/
71,Sas Safety,"Thickster, Exam Grade Latex Disposable Gloves, 12.6 mil Palm, Latex, Powder-Free, M, Blue",product price: $19.65,https://www.zoro.com//sas-safety-thickster-exam-grade-latex-disposable-gloves-126-mil-palm-latex-powder-free-m-blue-sa6602-20/i/G101971640/
72,Mcr Safety,"Memphis Flex Seamless Nylon Knit Gloves, Large, Blue/Gray, PK12",product price: $33.89,https://www.zoro.com//mcr-safety-memphis-flex-seamless-nylon-knit-gloves-large-bluegray-pk12-96731l/i/G501859937/
73,Squids By Ergodyne,Swiveling Glove Clip,product price: $3.79,https://www.zoro.com//squids-by-ergodyne-swiveling-glove-clip-3420/i/G100403982/
74,Mcr Safety,"Nitrile Coated Gloves, Full Coverage, Blue, L, PR",product price: $4.89,https://www.zoro.com//mcr-safety-nitrile-coated-gloves-full-coverage-blue-l-pr-9761/i/G4122581/
75,Ironclad Performance Wear,"General Utility Spandex Gloves, Black, Medium, Pair",product price: $17.85,https://www.zoro.com//ironclad-performance-wear-general-utility-spandex-gloves-black-medium-pair-gug-03-m/i/G4054633/
76,Pip,"Touchscreen Utility Glove, L, Yellow, PK12",product price: $21.69,https://www.zoro.com//pip-touchscreen-utility-glove-l-yellow-pk12-hvy713sutsl/i/G5046246/
77,Showa,"14"" Chemical Resistant Gloves, Nitrile, 10, 1 PR",product price: $7.59,https://www.zoro.com//showa-14-chemical-resistant-gloves-nitrile-10-1-pr-nsk24-10/i/G0008854/
78,Salisbury,"Electrical Gloves, Size 9, 14 In. L, PR",product price: $167.99,https://www.zoro.com//salisbury-electrical-gloves-size-9-14-in-l-pr-e114rb9/i/G0032557/
79,Magid,T-REX Flex Series TRX400 General Purpose Knit Impact Glove,product price: $11.15,https://www.zoro.com//magid-t-rex-flex-series-trx400-general-purpose-knit-impact-glove-trx400m/i/G7786259/
80,Showa,"7705PFT, Disposable Gloves, 4 mil Palm, Nitrile, Powder-Free, M (8), 100 PK, Green",product price: $12.99,https://www.zoro.com//showa-7705pft-disposable-gloves-4-mil-palm-nitrile-powder-free-m-8-100-pk-green-7705pftm/i/G0067532/
81,Showa,"SHOWA 300 Latex Palm Coated Gloves, 12PK",product price: $36.29,https://www.zoro.com//showa-showa-300-latex-palm-coated-gloves-12pk-300xl-10/i/G907466401/
82,Mechanix Wear,"Cut-Resistant Coated Gloves, A4 Cut Level, 18 ga, Green, 10",product price: $8.49,https://www.zoro.com//mechanix-wear-cut-resistant-coated-gloves-a4-cut-level-18-ga-green-10-s2ec-06-010/i/G700919616/
83,Barriersafe Solutions International,Diamond Grip Pf Latex Gloves Xl 100Pk,product price: $16.65,https://www.zoro.com//barriersafe-solutions-international-diamond-grip-pf-latex-gloves-xl-100pk-mf-300-xl/i/G5942825/
84,Mechanix Wear,"M-Pact XD Impact Gloves, L, Hi-Vis Yellow, PR",product price: $28.09,https://www.zoro.com//mechanix-wear-m-pact-xd-impact-gloves-l-hi-vis-yellow-pr-smp-91-010/i/G5175624/
85,Pip,"Foam Nitrile Coated Gloves, Full Coverage, Black/Gray, XL, 12PK",product price: $65.89,https://www.zoro.com//pip-foam-nitrile-coated-gloves-full-coverage-blackgray-xl-12pk-34-846xl/i/G9128329/
86,Condor,"Disposable Gloves, 4.5 mil Palm, Nitrile, Powdered, L (9), 100 PK, Blue",new price: $4.69,https://www.zoro.com//condor-disposable-gloves-45-mil-palm-nitrile-powdered-l-9-100-pk-blue-2xma4/i/G0058292/
